SeriesDescription,GeoAreaName,TimePeriod,Value,Source,[Age],[Sex]
"Employed population below international poverty line, by sex and age (%)",Colombia,2004,5.1,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",25+,FEMALE
"Employed population below international poverty line, by sex and age (%)",Colombia,2004,6.7,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",25+,BOTHSEX
"Employed population below international poverty line, by sex and age (%)",Colombia,2004,7.7,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",25+,MALE
"Employed population below international poverty line, by sex and age (%)",Colombia,2005,5.4,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15-24,FEMALE
"Employed population below international poverty line, by sex and age (%)",Colombia,2005,8.2,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15-24,BOTHSEX
"Employed population below international poverty line, by sex and age (%)",Colombia,2005,9.8,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15-24,MALE
"Employed population below international poverty line, by sex and age (%)",Colombia,2005,4.5,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",25+,FEMALE
"Employed population below international poverty line, by sex and age (%)",Colombia,2005,5.8,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",25+,BOTHSEX
"Employed population below international poverty line, by sex and age (%)",Colombia,2005,4.6,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15+,FEMALE
"Employed population below international poverty line, by sex and age (%)",Colombia,2005,6.3,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15+,BOTHSEX
"Employed population below international poverty line, by sex and age (%)",Colombia,2005,7.3,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15+,MALE
"Employed population below international poverty line, by sex and age (%)",Colombia,2005,6.7,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",25+,MALE
"Employed population below international poverty line, by sex and age (%)",Colombia,2008,9,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15-24,MALE
"Employed population below international poverty line, by sex and age (%)",Colombia,2008,5.7,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",25+,FEMALE
"Employed population below international poverty line, by sex and age (%)",Colombia,2008,6.7,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",25+,BOTHSEX
"Employed population below international poverty line, by sex and age (%)",Colombia,2008,7.4,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",25+,MALE
"Employed population below international poverty line, by sex and age (%)",Colombia,2008,5.7,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15+,FEMALE
"Employed population below international poverty line, by sex and age (%)",Colombia,2008,6.9,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15+,BOTHSEX
"Employed population below international poverty line, by sex and age (%)",Colombia,2008,7.7,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15+,MALE
"Employed population below international poverty line, by sex and age (%)",Colombia,2008,5.5,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15-24,FEMALE
"Employed population below international poverty line, by sex and age (%)",Colombia,2008,7.7,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15-24,BOTHSEX
"Employed population below international poverty line, by sex and age (%)",Colombia,2009,5.1,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15+,FEMALE
"Employed population below international poverty line, by sex and age (%)",Colombia,2009,5.9,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15+,BOTHSEX
"Employed population below international poverty line, by sex and age (%)",Colombia,2009,6.1,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",25+,MALE
"Employed population below international poverty line, by sex and age (%)",Colombia,2009,6.6,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15-24,BOTHSEX
"Employed population below international poverty line, by sex and age (%)",Colombia,2009,7.7,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15-24,MALE
"Employed population below international poverty line, by sex and age (%)",Colombia,2009,5.2,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",25+,FEMALE
"Employed population below international poverty line, by sex and age (%)",Colombia,2009,6.4,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15+,MALE
"Employed population below international poverty line, by sex and age (%)",Colombia,2009,4.5,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15-24,FEMALE
"Employed population below international poverty line, by sex and age (%)",Colombia,2009,5.7,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",25+,BOTHSEX
"Employed population below international poverty line, by sex and age (%)",Colombia,2010,4.6,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15+,FEMALE
"Employed population below international poverty line, by sex and age (%)",Colombia,2010,5,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15+,BOTHSEX
"Employed population below international poverty line, by sex and age (%)",Colombia,2010,3.7,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15-24,FEMALE
"Employed population below international poverty line, by sex and age (%)",Colombia,2010,5.3,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15-24,BOTHSEX
"Employed population below international poverty line, by sex and age (%)",Colombia,2010,5.3,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15+,MALE
"Employed population below international poverty line, by sex and age (%)",Colombia,2010,4.7,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",25+,FEMALE
"Employed population below international poverty line, by sex and age (%)",Colombia,2010,4.9,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",25+,BOTHSEX
"Employed population below international poverty line, by sex and age (%)",Colombia,2010,5.1,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",25+,MALE
"Employed population below international poverty line, by sex and age (%)",Colombia,2010,6.2,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15-24,MALE
"Employed population below international poverty line, by sex and age (%)",Colombia,2011,3.9,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15+,MALE
"Employed population below international poverty line, by sex and age (%)",Colombia,2011,2.6,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15-24,FEMALE
"Employed population below international poverty line, by sex and age (%)",Colombia,2011,3.8,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",25+,MALE
"Employed population below international poverty line, by sex and age (%)",Colombia,2011,3.8,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",25+,FEMALE
"Employed population below international poverty line, by sex and age (%)",Colombia,2011,3.6,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15+,FEMALE
"Employed population below international poverty line, by sex and age (%)",Colombia,2011,3.8,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15+,BOTHSEX
"Employed population below international poverty line, by sex and age (%)",Colombia,2011,3.7,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15-24,BOTHSEX
"Employed population below international poverty line, by sex and age (%)",Colombia,2011,4.4,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15-24,MALE
"Employed population below international poverty line, by sex and age (%)",Colombia,2011,3.8,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",25+,BOTHSEX
"Employed population below international poverty line, by sex and age (%)",Colombia,2012,2.6,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15+,MALE
"Employed population below international poverty line, by sex and age (%)",Colombia,2012,2.6,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",25+,MALE
"Employed population below international poverty line, by sex and age (%)",Colombia,2012,2.4,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15-24,BOTHSEX
"Employed population below international poverty line, by sex and age (%)",Colombia,2012,2.7,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15+,BOTHSEX
"Employed population below international poverty line, by sex and age (%)",Colombia,2012,2.7,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",25+,BOTHSEX
"Employed population below international poverty line, by sex and age (%)",Colombia,2012,3,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",25+,FEMALE
"Employed population below international poverty line, by sex and age (%)",Colombia,2012,2.8,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15-24,MALE
"Employed population below international poverty line, by sex and age (%)",Colombia,2012,2.8,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15+,FEMALE
"Employed population below international poverty line, by sex and age (%)",Colombia,2012,1.6,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15-24,FEMALE
"Employed population below international poverty line, by sex and age (%)",Colombia,2013,3.3,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15+,BOTHSEX
"Employed population below international poverty line, by sex and age (%)",Colombia,2013,3.4,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15+,FEMALE
"Employed population below international poverty line, by sex and age (%)",Colombia,2013,2,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15-24,FEMALE
"Employed population below international poverty line, by sex and age (%)",Colombia,2013,2.8,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15-24,BOTHSEX
"Employed population below international poverty line, by sex and age (%)",Colombia,2013,3.7,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",25+,FEMALE
"Employed population below international poverty line, by sex and age (%)",Colombia,2013,3.1,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",25+,MALE
"Employed population below international poverty line, by sex and age (%)",Colombia,2013,3.4,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",25+,BOTHSEX
"Employed population below international poverty line, by sex and age (%)",Colombia,2013,3.3,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15-24,MALE
"Employed population below international poverty line, by sex and age (%)",Colombia,2013,3.2,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15+,MALE
"Employed population below international poverty line, by sex and age (%)",Colombia,2014,2.7,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",25+,BOTHSEX
"Employed population below international poverty line, by sex and age (%)",Colombia,2014,3,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",25+,FEMALE
"Employed population below international poverty line, by sex and age (%)",Colombia,2014,2.8,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15+,FEMALE
"Employed population below international poverty line, by sex and age (%)",Colombia,2014,2.7,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15+,BOTHSEX
"Employed population below international poverty line, by sex and age (%)",Colombia,2014,2.6,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15+,MALE
"Employed population below international poverty line, by sex and age (%)",Colombia,2014,1.6,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15-24,FEMALE
"Employed population below international poverty line, by sex and age (%)",Colombia,2014,2.3,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15-24,BOTHSEX
"Employed population below international poverty line, by sex and age (%)",Colombia,2014,2.7,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15-24,MALE
"Employed population below international poverty line, by sex and age (%)",Colombia,2014,2.5,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",25+,MALE
"Employed population below international poverty line, by sex and age (%)",Colombia,2015,2.1,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15+,MALE
"Employed population below international poverty line, by sex and age (%)",Colombia,2015,2.2,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15+,BOTHSEX
"Employed population below international poverty line, by sex and age (%)",Colombia,2015,2,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15-24,BOTHSEX
"Employed population below international poverty line, by sex and age (%)",Colombia,2015,2.4,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15+,FEMALE
"Employed population below international poverty line, by sex and age (%)",Colombia,2015,1.4,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15-24,FEMALE
"Employed population below international poverty line, by sex and age (%)",Colombia,2015,2.4,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15-24,MALE
"Employed population below international poverty line, by sex and age (%)",Colombia,2015,2.1,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",25+,MALE
"Employed population below international poverty line, by sex and age (%)",Colombia,2015,2.3,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",25+,BOTHSEX
"Employed population below international poverty line, by sex and age (%)",Colombia,2015,2.5,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",25+,FEMALE
"Employed population below international poverty line, by sex and age (%)",Colombia,2016,2.1,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15+,MALE
"Employed population below international poverty line, by sex and age (%)",Colombia,2016,2.2,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15+,BOTHSEX
"Employed population below international poverty line, by sex and age (%)",Colombia,2016,2.4,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15+,FEMALE
"Employed population below international poverty line, by sex and age (%)",Colombia,2016,1.4,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15-24,FEMALE
"Employed population below international poverty line, by sex and age (%)",Colombia,2016,1.8,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15-24,BOTHSEX
"Employed population below international poverty line, by sex and age (%)",Colombia,2016,2.3,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",25+,BOTHSEX
"Employed population below international poverty line, by sex and age (%)",Colombia,2016,2.1,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15-24,MALE
"Employed population below international poverty line, by sex and age (%)",Colombia,2016,2.5,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",25+,FEMALE
"Employed population below international poverty line, by sex and age (%)",Colombia,2016,2.1,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",25+,MALE
"Employed population below international poverty line, by sex and age (%)",Comoros,2004,10.6,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15+,BOTHSEX
"Employed population below international poverty line, by sex and age (%)",Comoros,2004,12.1,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15+,FEMALE
"Employed population below international poverty line, by sex and age (%)",Comoros,2004,14.8,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15-24,FEMALE
"Employed population below international poverty line, by sex and age (%)",Comoros,2004,16.8,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15-24,MALE
"Employed population below international poverty line, by sex and age (%)",Comoros,2004,8.7,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",25+,MALE
"Employed population below international poverty line, by sex and age (%)",Comoros,2004,9.6,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15+,MALE
"Employed population below international poverty line, by sex and age (%)",Comoros,2004,9.8,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",25+,BOTHSEX
"Employed population below international poverty line, by sex and age (%)",Comoros,2004,11.6,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",25+,FEMALE
"Employed population below international poverty line, by sex and age (%)",Comoros,2004,15.8,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15-24,BOTHSEX
"Employed population below international poverty line, by sex and age (%)",Comoros,2014,21.5,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15-24,BOTHSEX
"Employed population below international poverty line, by sex and age (%)",Comoros,2014,22.7,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15-24,MALE
"Employed population below international poverty line, by sex and age (%)",Comoros,2014,12.5,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",25+,MALE
"Employed population below international poverty line, by sex and age (%)",Comoros,2014,14.1,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",25+,BOTHSEX
"Employed population below international poverty line, by sex and age (%)",Comoros,2014,16.4,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",25+,FEMALE
"Employed population below international poverty line, by sex and age (%)",Comoros,2014,13.4,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15+,MALE
"Employed population below international poverty line, by sex and age (%)",Comoros,2014,16.9,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15+,FEMALE
"Employed population below international poverty line, by sex and age (%)",Comoros,2014,20.4,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15-24,FEMALE
"Employed population below international poverty line, by sex and age (%)",Comoros,2014,14.9,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15+,BOTHSEX
"Employed population below international poverty line, by sex and age (%)",Congo,2005,55.6,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15-24,BOTHSEX
"Employed population below international poverty line, by sex and age (%)",Congo,2005,49.6,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15+,BOTHSEX
"Employed population below international poverty line, by sex and age (%)",Congo,2005,46.2,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15+,MALE
"Employed population below international poverty line, by sex and age (%)",Congo,2005,56,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15-24,FEMALE
"Employed population below international poverty line, by sex and age (%)",Congo,2005,48.5,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",25+,BOTHSEX
"Employed population below international poverty line, by sex and age (%)",Congo,2005,53.2,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15+,FEMALE
"Employed population below international poverty line, by sex and age (%)",Congo,2005,52.6,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",25+,FEMALE
"Employed population below international poverty line, by sex and age (%)",Congo,2005,55.1,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15-24,MALE
"Employed population below international poverty line, by sex and age (%)",Congo,2005,44.7,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",25+,MALE
"Employed population below international poverty line, by sex and age (%)",Congo,2011,32.5,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15+,MALE
"Employed population below international poverty line, by sex and age (%)",Congo,2011,38.4,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",25+,FEMALE
"Employed population below international poverty line, by sex and age (%)",Congo,2011,43.4,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15-24,BOTHSEX
"Employed population below international poverty line, by sex and age (%)",Congo,2011,35.8,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15+,BOTHSEX
"Employed population below international poverty line, by sex and age (%)",Congo,2011,39.3,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15+,FEMALE
"Employed population below international poverty line, by sex and age (%)",Congo,2011,43.1,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15-24,MALE
"Employed population below international poverty line, by sex and age (%)",Congo,2011,43.7,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15-24,FEMALE
"Employed population below international poverty line, by sex and age (%)",Congo,2011,30.6,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",25+,MALE
"Employed population below international poverty line, by sex and age (%)",Congo,2011,34.3,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",25+,BOTHSEX
